幅(mm),奥行(mm),高さ(mm),寸法信頼度,寸法メモ
,,,,
1500,3000,2310,低,構成可変。配置想定1500x3000
2400,1920,80,高,ISP-6X8公式
2126,620,810,中,EVRB-C177ラック占有
1400,760,470,高,EVRB-L139公式
,,,,
1780,740,1450,高,GSL0622
1700,1960,1300,高,GPL0612
1880,1700,740,高,GPL0551
1410,1810,640,高,Arsenal公式
1380,1580,2030,高,4340
1825,1475,2000,高,4319
1020,1760,470,高,4318
1200,1300,1620,高,Seated Row Machine 3040
880,1390,1330,高,4325
1294,2206,1361,高,4159N
1269,1633,841,高,4337N
1322,1336,1037,高,4336N
1010,1330,1280,高,4345
1955,1585,1490,高,4360
1068,2421,1733,高,4353N
946,1530,1243,高,4355
1179,1279,1493,高,4339N
1567,2084,1605,高,ELC-07
1200,1500,1500,低,ELCラテラル。仮寸法
,,,,
1040,1190,1630,高,HS Select LE LxWxH
1040,1190,1630,中,HS Select Leg Curl 近似
1100,1200,1500,低,HS Abdominal 要確認
1200,1400,2100,低,Assist Dip Chin 要確認
1400,1500,1800,低,Insignia Chest 要確認
1200,1500,1600,低,Standing Abductor要確認
,,,,
600,1270,2160,高,SkiErg+stand
610,2440,860,高,RowErg
610,1220,1030,高,BikeErg 61x122
600,1030,820,高,POWER MAX V3
840,1430,2100,高,PowerMill
720,1350,1910,高,Matrix C50
860,1600,2060,高,StairMaster 10G
840,1780,1830,高,WOODWAY Curve
900,2100,1600,低,Integrity+ TM 要確認
700,2000,1700,低,Integrity+ XT 要確認
,,,,
950,1400,2300,低,ONI想定
650,1400,450,中,EVRB-C135要確認
50,2200,50,高,バー長約2200
600,600,1500,中,プレートツリー目安
400,800,400,低,Deadlift Jack目安
350,350,350,低,Wall Ball単体
800,600,500,低,KBセット占有目安
600,400,1800,低,アタッチメントラック目安
,,,,
1200,1200,430,低,タイヤ推定
610,1016,1003,高,Dog Sled
610,1524,254,低,Farmers目安
254,1956,254,高,Log Bar
1700,1700,2300,低,Yoke目安
406,406,394,低,Sandbag目安
