カテゴリ	名称	ブランド	シリーズ/型番	台数	幅(mm)	奥行(mm)	高さ(mm)	写真	寸法出典
有酸素	トレッドミル	Technogym	Excite Run系	13	910	1740	1580	cardio_1	Technogym Excite+ Run公式
有酸素	クロストレーナー	Technogym	Excite Synchro系	4	700	2180	1685	cardio_2	Technogym Excite+ Synchro公式
有酸素	エアロバイク	Technogym	Excite Bike系	1	600	1140	1360	cardio_3	Technogym Excite+ Bike公式
有酸素	リクラインバイク	Technogym	Excite Recline系	2	600	1600	1290	cardio_3	Technogym Excite Recline系参考
ウェイト	レッグプレス	Cybex	Eagle NX 20040	1	1060	1720	1850	resistance_1	Life Fitness/Cybex公式
ウェイト	ショルダープレス	Cybex	Eagle NX 20010	1	1550	1730	1420	resistance_2	Life Fitness/Cybex公式
ウェイト	ペックフライ/リアデルト	Cybex	Prestige 21110	1	1500	1350	1880	resistance_3	Cybex OM静止時
ウェイト	ラットプルダウン	Cybex	VR1 13130	1	1100	1530	2260	resistance_4	Cybex VR1 OM静止時
ウェイト	グルート	Cybex	VR1 13170	1	1010	1270	1570	resistance_5	Cybex VR1 OM静止時
ウェイト	シットアップベンチ	不明	—	1	700	1600	900	resistance_6	商用目安・要実測
ウェイト	バックエクステンション	不明	—	1	800	1300	900	resistance_7	商用目安・要実測
ウェイト	レッグエクステンション	Cybex	Eagle NX 20050	1	1090	1270	1420	resistance_8	Life Fitness/Cybex公式
ウェイト	レッグカール	Cybex	Eagle NX 20060	1	1080	1580	1420	resistance_9	Life Fitness/Cybex公式
ウェイト	ヒップアブ/アド（両用）	Cybex	Eagle NX 20180	1	840	1630	1420	resistance_10_11	Cybex OM静止時・1台両用
ウェイト	ロータリートルソー	Cybex	Eagle NX 20190	1	1190	1170	2000	resistance_12	Life Fitness/Cybex公式
ウェイト	チェストプレス	Cybex	Eagle NX 20000	1	1450	1140	1800	resistance_13	Cybex OM静止時
ウェイト	ローロー	Cybex	Eagle NX 20030	1	1080	1740	1850	resistance_14	Life Fitness/Cybex公式
ウェイト	アブドミナル	Cybex	Eagle NX 20090	1	1010	1460	1420	resistance_15	Life Fitness/Cybex公式
フリーウェイト	パワーラック	BULL	パワーラック	2	1200	1500	2300	freeweight_1	機種特定済・寸法は要実測
フリーウェイト	インクラインチェストプレス	Matrix	Plate Loaded系	1	1430	2080	1300	freeweight_2	同系統目安・要型番確認
フリーウェイト	プリチャーカール	Steelflex	Plate Loaded系	1	800	1100	900	freeweight_3	同系統目安・要型番確認
フリーウェイト	チンニング＆ディップス	Life Fitness	Signature SCDLR	1	1270	1140	2330	freeweight_4	Life Fitness公式
フリーウェイト	ベンチプレス台	BULL	オリンピックベンチ	1	1300	1700	1400	freeweight_5	機種特定済・寸法は要実測
フリーウェイト	スミスマシン	Technogym	Selection系想定	3	2000	1400	2300	freeweight_6	同系統目安・要型番確認
フリーウェイト	ケーブルマシン	Cybex	Bravo 8800系	1	1370	1140	1960	freeweight_7	Cybex Bravo Compact公式
フリーウェイト	ケーブルマシン	Technogym	Dual Adjustable Pulley	1	1200	1450	2320	freeweight_8	Technogym DAP公式
フリーウェイト	ケーブルステーション	不明	マルチジャングル	1	2500	4000	2300	freeweight_9	構成可変・要実測
フリーウェイト	ダンベルラック	IVANKO	2段ラック	1	700	2500	900	freeweight_10	1–40kg掲載・寸法要実測
フリーウェイト	アジャスタブルベンチ	不明	—	5	700	1400	500	freeweight_11	商用目安・要実測
フリーウェイト	45°レッグプレス	不明	Plate Loaded	1	1500	2200	1500	freeweight_12	同系統目安・要実測
