カテゴリ,サブカテゴリ,目的,検索コード,ブランド,名称,税抜単価,台数,税抜小計,商品リンク,備考,幅(mm),奥行(mm),高さ(mm),寸法信頼度,寸法メモ
フリーウェイト,,,,,,,,,,,,,,,
フリーウェイト,ラック,ラックを合計6ステーション化する,A-01 フリーウェイト,Hammer Strength,HD Athletic NX Half Half Combo Rack,"¥4,000,000",2,"¥8,000,000",HD Athletic NX Half Half Combo Rack | Hammer Strength,2台導入で新規4ステーション。既存パワーラック2台と合わせて合計6ステーション想定,1500,3000,2310,低,構成可変。配置想定1500x3000
フリーウェイト,プラットフォーム,ラック4面に床材を入れる,A-02 フリーウェイト,Hammer Strength,Impact Suppression Platform / Platform床材,"¥600,000",4,"¥2,400,000",https://www.lifefitness.com/en-us/catalog/strength-training/racks-rigs-platforms/impact-suppression-platform,Half Half Combo Rack両面×2台で4面分を想定。正式見積必須,2400,1920,80,高,ISP-6X8公式
フリーウェイト,ダンベル,ダンベル60kgまで,A-03 フリーウェイト,EVOLGEAR,ラバーダンベル EVA-D104 42.5kg〜60kg追加,"¥471,520",1,"¥471,520",https://evolgear.com/product/eva-d104.html,42.5/45/47.5/50/52.5/55/57.5/60kgを各ペア追加想定,2126,620,810,中,EVRB-C177ラック占有
フリーウェイト,ベンチ,アジャスタブルベンチ6台体制,A-04 フリーウェイト,EVOLGEAR,アジャスタブルインクラインベンチ EVRB-L139,"¥77,050",3,"¥231,150",https://evolgear.com/product/evrb-l139.html,既存3台＋追加3台で合計6台体制,1400,760,470,高,EVRB-L139公式
プレートロード,,,,,,,,,,,,,,,
プレートロード,グルート,最新グルートゾーンを作る,B-01 プレートロード,Precor Glutebuilder,Selectorized 3D Multi-Abductor Pro,"¥2,400,000",1,"¥2,400,000",https://www.precor.com/ja-JP/strength/glutebuilder/selectorized,初心者女性向けの入口。立位・座位・臥位に対応。国内正式見積必須,1780,740,1450,高,GSL0622
プレートロード,グルート,ヒップスラストを看板化する,B-02 プレートロード,Precor Glutebuilder,Hip Thrust Elite,"¥1,800,000",1,"¥1,800,000",https://www.precor.com/ja-JP/strength/glutebuilder/selectorized,グルートゾーンの主役。国内正式見積必須,1700,1960,1300,高,GPL0612
プレートロード,グルート,ヒンジ系・男女兼用にする,B-03 プレートロード,Precor Glutebuilder,Deadlift Elite,"¥1,500,000",1,"¥1,500,000",https://www.precor.com/en-US/strength/glutebuilder,片側14kgスタート・高重量対応。男性上級者にも刺さる,1880,1700,740,高,GPL0551
プレートロード,背中,背中の厚みを作る,B-04 プレートロード,Arsenal Strength,Reloaded T Bar Row,"¥1,200,000",1,"¥1,200,000",https://www.myarsenalstrength.com/strength-equipment/reloaded/upper-body-reloaded/reloaded-t-bar-row,WARRIORS GYM系。背中の目玉,1410,1810,640,高,Arsenal公式
プレートロード,背中,ハイローを入れる,B-05 プレートロード,gym80,Pure Kraft High Row Dual,"¥2,200,000",1,"¥2,200,000",https://gym80.de/en/product/4340/,背中の広がり。gym80枠,1380,1580,2030,高,4340
プレートロード,背中,ローローを入れる,B-06 プレートロード,gym80,Pure Kraft Low Row Dual,"¥2,200,000",1,"¥2,200,000",https://www.gym80.co.uk/products/pure-kraft-low-row,背中の厚み。玄人向け,1825,1475,2000,高,4319
プレートロード,背中,ベントオーバーローを入れる,B-07 プレートロード,gym80,Pure Kraft Bent Over Row,"¥1,600,000",1,"¥1,600,000",https://gym80.de/en/product/4318/,背中・リア側。見た目も珍しい,1020,1760,470,高,4318
プレートロード,背中,シーテッドローを高級化する,B-08 プレートロード,gym80,Seated Row Machine / Dual Row系,"¥1,800,000",1,"¥1,800,000",https://gym80.de/en/product/3040/,レジスタンス寄りの高級ロー。既存との置換候補,1200,1300,1620,高,Seated Row Machine 3040
プレートロード,肩,ラテラルレイズを入れる,B-09 プレートロード,gym80,Pure Kraft Shoulder Lateral Raise Dual,"¥2,200,000",1,"¥2,200,000",https://www.gym80.co.uk/products/pure-kraft-shoulder-lateral-raise-dual,フィジーク層・ボディメイク層向け,880,1390,1330,高,4325
プレートロード,脚,ハックスクワットを入れる,B-10 プレートロード,gym80,Pure Kraft Hack Squat,"¥2,300,000",1,"¥2,300,000",https://gym80.de/en/product/4159n/,脚トレの本命。3段階調整フットプレート,1294,2206,1361,高,4159N
プレートロード,脚,ライイングレッグカールを入れる,B-11 プレートロード,gym80,Pure Kraft Lying Leg Curl,"¥1,800,000",1,"¥1,800,000",https://gym80.de/en/product/4337n/,ハムストリング特化。脚の完成度を上げる,1269,1633,841,高,4337N
プレートロード,脚,レッグエクステンションを入れる,B-12 プレートロード,gym80,Pure Kraft Leg Extension,"¥1,800,000",1,"¥1,800,000",https://gym80.de/en/product/4336n/,大腿四頭筋。既存更新・高級化候補,1322,1336,1037,高,4336N
プレートロード,脚,カーフ専用マシンを入れる,B-13 プレートロード,gym80,Pure Kraft 55 Degrees Standing Calf Raise,"¥1,800,000",1,"¥1,800,000",https://gym80.de/en/product/4345/,置いてあるジムが少なく差別化しやすい,1010,1330,1280,高,4345
プレートロード,脚尻,ベルトスクワットを入れる,B-14 プレートロード,gym80,Pure Kraft Belt Squat,"¥2,200,000",0,¥0,https://gym80.de/en/product/4360/,Precor Deadlift Eliteやラック構成と要調整。採用なら台数1,1955,1585,1490,高,4360
プレートロード,脚尻,ペンデュラムスクワットを入れる,B-15 プレートロード,gym80,Pure Kraft Pendulum Squat,"¥2,400,000",0,¥0,https://gym80.de/en/product/4353n/,ハックスクワットとの比較候補。採用なら台数1,1068,2421,1733,高,4353N
プレートロード,腕,バイセップカールを入れる,B-16 プレートロード,gym80,Pure Kraft Biceps Curl Dual,"¥1,600,000",1,"¥1,600,000",https://www.gym80.co.uk/products/pure-kraft-biceps-curl-dual,二頭専用。腕を鍛え切れる感を出す,946,1530,1243,高,4355
プレートロード,腕,トライセップスエクステンションを入れる,B-17 プレートロード,gym80,Pure Kraft Triceps Extension,"¥1,600,000",1,"¥1,600,000",https://gym80.de/en/product/4356/,三頭専用。カールとは分けて導入,1179,1279,1493,高,4339N
プレートロード,背中,背中を低コストで強化する,B-18 プレートロード,ECOLECO FITNESS,ELC シーテッドロウ,"¥294,000",0,¥0,https://ecoleco-fitness.com/expert-model/plate-load/elc-series,Arsenal/gym80が高い場合の代替候補,1567,2084,1605,高,ELC-07
