カテゴリ,サブカテゴリ,目的,検索コード,ブランド,名称,税抜単価,台数,税抜小計,商品リンク,備考
フリーウェイト,,,,,,,,,,
フリーウェイト,ラック,ラックを合計6ステーション化する,A-01 フリーウェイト,Hammer Strength,HD Athletic NX Half Half Combo Rack,"¥4,000,000",2,"¥8,000,000",HD Athletic NX Half Half Combo Rack | Hammer Strength,2台導入で新規4ステーション。既存パワーラック2台と合わせて合計6ステーション想定
フリーウェイト,プラットフォーム,ラック4面に床材を入れる,A-02 フリーウェイト,Hammer Strength,Impact Suppression Platform / Platform床材,"¥600,000",4,"¥2,400,000",https://www.lifefitness.com/en-us/catalog/strength-training/racks-rigs-platforms/impact-suppression-platform,Half Half Combo Rack両面×2台で4面分を想定。正式見積必須
フリーウェイト,ダンベル,ダンベル60kgまで,A-03 フリーウェイト,EVOLGEAR,ラバーダンベル EVA-D104 42.5kg〜60kg追加,"¥471,520",1,"¥471,520",https://evolgear.com/product/eva-d104.html,42.5/45/47.5/50/52.5/55/57.5/60kgを各ペア追加想定
フリーウェイト,ベンチ,アジャスタブルベンチ6台体制,A-04 フリーウェイト,EVOLGEAR,アジャスタブルインクラインベンチ EVRB-L139,"¥77,050",3,"¥231,150",https://evolgear.com/product/evrb-l139.html,既存3台＋追加3台で合計6台体制
プレートロード,,,,,,,,,,
プレートロード,グルート,最新グルートゾーンを作る,B-01 プレートロード,Precor Glutebuilder,Selectorized 3D Multi-Abductor Pro,"¥2,400,000",1,"¥2,400,000",https://www.precor.com/ja-JP/strength/glutebuilder/selectorized,初心者女性向けの入口。立位・座位・臥位に対応。国内正式見積必須
プレートロード,グルート,ヒップスラストを看板化する,B-02 プレートロード,Precor Glutebuilder,Hip Thrust Elite,"¥1,800,000",1,"¥1,800,000",https://www.precor.com/ja-JP/strength/glutebuilder/selectorized,グルートゾーンの主役。国内正式見積必須
プレートロード,グルート,ヒンジ系・男女兼用にする,B-03 プレートロード,Precor Glutebuilder,Deadlift Elite,"¥1,500,000",1,"¥1,500,000",https://www.precor.com/en-US/strength/glutebuilder,片側14kgスタート・高重量対応。男性上級者にも刺さる
プレートロード,背中,背中の厚みを作る,B-04 プレートロード,Arsenal Strength,Reloaded T Bar Row,"¥1,200,000",1,"¥1,200,000",https://www.myarsenalstrength.com/strength-equipment/reloaded/upper-body-reloaded/reloaded-t-bar-row,WARRIORS GYM系。背中の目玉
プレートロード,背中,ハイローを入れる,B-05 プレートロード,gym80,Pure Kraft High Row Dual,"¥2,200,000",1,"¥2,200,000",https://gym80.de/en/product/4340/,背中の広がり。gym80枠
プレートロード,背中,ローローを入れる,B-06 プレートロード,gym80,Pure Kraft Low Row Dual,"¥2,200,000",1,"¥2,200,000",https://www.gym80.co.uk/products/pure-kraft-low-row,背中の厚み。玄人向け
プレートロード,背中,ベントオーバーローを入れる,B-07 プレートロード,gym80,Pure Kraft Bent Over Row,"¥1,600,000",1,"¥1,600,000",https://gym80.de/en/product/4318/,背中・リア側。見た目も珍しい
